,spiw,spiw,spiw,spiw,spiw,spiw,spiw,spiw,spiw,spiw
2003-04-18,115.00,116.00,116.00,116.00,115.00,114.00,114.00,113.00,111.00,110.00
2003-04-25,116.00,116.00,116.00,115.00,114.00,114.00,113.00,111.00,110.00,109.00
2003-05-02,116.00,116.00,115.00,114.00,114.00,113.00,111.00,110.00,109.00,109.00
2003-05-09,116.00,115.00,114.00,114.00,113.00,111.00,110.00,109.00,109.00,110.00
2003-05-16,115.00,114.00,114.00,113.00,111.00,110.00,109.00,109.00,110.00,110.00
2003-05-23,114.00,114.00,113.00,111.00,110.00,109.00,109.00,110.00,110.00,110.00
2003-05-30,114.00,113.00,111.00,110.00,109.00,109.00,110.00,110.00,110.00,110.00
2003-06-06,113.00,111.00,110.00,109.00,109.00,110.00,110.00,110.00,110.00,111.00
2003-06-13,111.00,110.00,109.00,109.00,110.00,110.00,110.00,110.00,111.00,112.00
2003-06-20,110.00,109.00,109.00,110.00,110.00,110.00,110.00,111.00,112.00,114.00
2003-06-27,109.00,109.00,110.00,110.00,110.00,110.00,111.00,112.00,114.00,118.00
2003-07-04,109.00,110.00,110.00,110.00,110.00,111.00,112.00,114.00,118.00,123.00
2003-07-11,110.00,110.00,110.00,110.00,111.00,112.00,114.00,118.00,123.00,125.00
2003-07-18,110.00,110.00,110.00,111.00,112.00,114.00,118.00,123.00,125.00,125.00
2003-07-25,110.00,110.00,111.00,112.00,114.00,118.00,123.00,125.00,125.00,124.00
2003-08-01,110.00,111.00,112.00,114.00,118.00,123.00,125.00,125.00,124.00,124.00
2003-08-08,111.00,112.00,114.00,118.00,123.00,125.00,125.00,124.00,124.00,123.00
2003-08-15,112.00,114.00,118.00,123.00,125.00,125.00,124.00,124.00,123.00,122.00
2003-08-22,114.00,118.00,123.00,125.00,125.00,124.00,124.00,123.00,122.00,121.00
2003-08-29,118.00,123.00,125.00,125.00,124.00,124.00,123.00,122.00,121.00,120.00
2003-09-05,123.00,125.00,125.00,124.00,124.00,123.00,122.00,121.00,120.00,119.00
2003-09-12,125.00,125.00,124.00,124.00,123.00,122.00,121.00,120.00,119.00,119.00
2003-09-19,125.00,124.00,124.00,123.00,122.00,121.00,120.00,119.00,119.00,119.00
2003-09-26,124.00,124.00,123.00,122.00,121.00,120.00,119.00,119.00,119.00,119.00
2003-10-03,124.00,123.00,122.00,121.00,120.00,119.00,119.00,119.00,119.00,120.00
2003-10-10,123.00,122.00,121.00,120.00,119.00,119.00,119.00,119.00,120.00,121.00
2003-10-17,122.00,121.00,120.00,119.00,119.00,119.00,119.00,120.00,121.00,122.00
2003-10-24,121.00,120.00,119.00,119.00,119.00,119.00,120.00,121.00,122.00,124.00
2003-10-31,120.00,119.00,119.00,119.00,119.00,120.00,121.00,122.00,124.00,128.00
2003-11-07,119.00,119.00,119.00,119.00,120.00,121.00,122.00,124.00,128.00,131.00
2003-11-14,119.00,119.00,119.00,120.00,121.00,122.00,124.00,128.00,131.00,131.00
2003-11-21,119.00,119.00,120.00,121.00,122.00,124.00,128.00,131.00,131.00,131.00
2003-11-28,119.00,120.00,121.00,122.00,124.00,128.00,131.00,131.00,131.00,132.00
2003-12-05,120.00,121.00,122.00,124.00,128.00,131.00,131.00,131.00,132.00,136.00
2003-12-12,121.00,122.00,124.00,128.00,131.00,131.00,131.00,132.00,136.00,140.00
2003-12-19,122.00,124.00,128.00,131.00,131.00,131.00,132.00,136.00,140.00,144.00
2003-12-26,124.00,128.00,131.00,131.00,131.00,132.00,136.00,140.00,144.00,145.00
2004-01-02,128.00,131.00,131.00,131.00,132.00,136.00,140.00,144.00,145.00,146.00
2004-01-09,131.00,131.00,131.00,132.00,136.00,140.00,144.00,145.00,146.00,147.00
2004-01-16,131.00,131.00,132.00,136.00,140.00,144.00,145.00,146.00,147.00,147.00
2004-01-23,131.00,132.00,136.00,140.00,144.00,145.00,146.00,147.00,147.00,147.00
2004-01-30,132.00,136.00,140.00,144.00,145.00,146.00,147.00,147.00,147.00,149.00
2004-02-06,136.00,140.00,144.00,145.00,146.00,147.00,147.00,147.00,149.00,152.00
2004-02-13,140.00,144.00,145.00,146.00,147.00,147.00,147.00,149.00,152.00,154.00
2004-02-20,144.00,145.00,146.00,147.00,147.00,147.00,149.00,152.00,154.00,157.00
2004-02-27,145.00,146.00,147.00,147.00,147.00,149.00,152.00,154.00,157.00,158.00
2004-03-05,146.00,147.00,147.00,147.00,149.00,152.00,154.00,157.00,158.00,158.00
2004-03-12,147.00,147.00,147.00,149.00,152.00,154.00,157.00,158.00,158.00,156.00
2004-03-19,147.00,147.00,149.00,152.00,154.00,157.00,158.00,158.00,156.00,156.00
2004-03-26,147.00,149.00,152.00,154.00,157.00,158.00,158.00,156.00,156.00,155.00
2004-04-02,149.00,152.00,154.00,157.00,158.00,158.00,156.00,156.00,155.00,155.00
2004-04-09,152.00,154.00,157.00,158.00,158.00,156.00,156.00,155.00,155.00,153.00
2004-04-16,154.00,157.00,158.00,158.00,156.00,156.00,155.00,155.00,153.00,150.00
2004-04-23,157.00,158.00,158.00,156.00,156.00,155.00,155.00,153.00,150.00,146.00
2004-04-30,158.00,158.00,156.00,156.00,155.00,155.00,153.00,150.00,146.00,141.00
2004-05-07,158.00,156.00,156.00,155.00,155.00,153.00,150.00,146.00,141.00,138.00
2004-05-14,156.00,156.00,155.00,155.00,153.00,150.00,146.00,141.00,138.00,130.00
2004-05-21,156.00,155.00,155.00,153.00,150.00,146.00,141.00,138.00,130.00,125.00
2004-05-28,155.00,155.00,153.00,150.00,146.00,141.00,138.00,130.00,125.00,127.00
2004-06-04,155.00,153.00,150.00,146.00,141.00,138.00,130.00,125.00,127.00,128.00
2004-06-11,153.00,150.00,146.00,141.00,138.00,130.00,125.00,127.00,128.00,132.00
2004-06-18,150.00,146.00,141.00,138.00,130.00,125.00,127.00,128.00,132.00,136.00
2004-06-25,146.00,141.00,138.00,130.00,125.00,127.00,128.00,132.00,136.00,135.00
2004-07-02,141.00,138.00,130.00,125.00,127.00,128.00,132.00,136.00,135.00,135.00
2004-07-09,138.00,130.00,125.00,127.00,128.00,132.00,136.00,135.00,135.00,136.00
2004-07-16,130.00,125.00,127.00,128.00,132.00,136.00,135.00,135.00,136.00,138.00
2004-07-23,125.00,127.00,128.00,132.00,136.00,135.00,135.00,136.00,138.00,144.00
2004-07-30,127.00,128.00,132.00,136.00,135.00,135.00,136.00,138.00,144.00,149.00
2004-08-06,128.00,132.00,136.00,135.00,135.00,136.00,138.00,144.00,149.00,149.00
2004-08-13,132.00,136.00,135.00,135.00,136.00,138.00,144.00,149.00,149.00,148.00
